Last_Update,Country_Region,Province_State,Copy_of_Confirmed,Copy_of_Deaths,Copy_of_Recovered
2020-01-22,Hong Kong,Hong Kong,0,0,0
2020-01-22,Macau,Macau,1,0,0
2020-01-22,Mainland China,Anhui,1,0,0
2020-01-22,Mainland China,Beijing,14,0,0
2020-01-22,Mainland China,Chongqing,6,0,0
2020-01-22,Mainland China,Fujian,1,0,0
2020-01-22,Mainland China,Gansu,0,0,0
2020-01-22,Mainland China,Guangdong,26,0,0
2020-01-22,Mainland China,Guangxi,2,0,0
2020-01-22,Mainland China,Guizhou,1,0,0
2020-01-22,Mainland China,Hainan,4,0,0
2020-01-22,Mainland China,Hebei,1,0,0
2020-01-22,Mainland China,Heilongjiang,0,0,0
2020-01-22,Mainland China,Henan,5,0,0
2020-01-22,Mainland China,Hubei,444,17,28
2020-01-22,Mainland China,Hunan,4,0,0
2020-01-22,Mainland China,Inner Mongolia,0,0,0
2020-01-22,Mainland China,Jiangsu,1,0,0
2020-01-22,Mainland China,Jiangxi,2,0,0
2020-01-22,Mainland China,Jilin,0,0,0
2020-01-22,Mainland China,Liaoning,2,0,0
2020-01-22,Mainland China,Ningxia,1,0,0
2020-01-22,Mainland China,Qinghai,0,0,0
2020-01-22,Mainland China,Shaanxi,0,0,0
2020-01-22,Mainland China,Shandong,2,0,0
2020-01-22,Mainland China,Shanghai,9,0,0
2020-01-22,Mainland China,Shanxi,1,0,0
2020-01-22,Mainland China,Sichuan,5,0,0
2020-01-22,Mainland China,Tianjin,4,0,0
2020-01-22,Mainland China,Tibet,0,0,0
2020-01-22,Mainland China,Xinjiang,0,0,0
2020-01-22,Mainland China,Yunnan,1,0,0
2020-01-22,Mainland China,Zhejiang,10,0,0
2020-01-22,Taiwan,Taiwan,1,0,0
2020-01-22,US,Washington,1,0,0
2020-01-23,Hong Kong,Hong Kong,2,0,0
2020-01-23,Macau,Macau,2,0,0
2020-01-23,Mainland China,Anhui,9,0,0
2020-01-23,Mainland China,Beijing,22,0,0
2020-01-23,Mainland China,Chongqing,9,0,0
2020-01-23,Mainland China,Fujian,5,0,0
2020-01-23,Mainland China,Gansu,2,0,0
2020-01-23,Mainland China,Guangdong,32,0,2
2020-01-23,Mainland China,Guangxi,5,0,0
2020-01-23,Mainland China,Guizhou,3,0,0
2020-01-23,Mainland China,Hainan,5,0,0
2020-01-23,Mainland China,Hebei,1,1,0
2020-01-23,Mainland China,Heilongjiang,2,0,0
2020-01-23,Mainland China,Henan,5,0,0
2020-01-23,Mainland China,Hubei,444,17,28
2020-01-23,Mainland China,Hunan,9,0,0
2020-01-23,Mainland China,Inner Mongolia,0,0,0
2020-01-23,Mainland China,Jiangsu,5,0,0
2020-01-23,Mainland China,Jiangxi,7,0,0
2020-01-23,Mainland China,Jilin,1,0,0
2020-01-23,Mainland China,Liaoning,3,0,0
2020-01-23,Mainland China,Ningxia,1,0,0
2020-01-23,Mainland China,Qinghai,0,0,0
2020-01-23,Mainland China,Shaanxi,3,0,0
2020-01-23,Mainland China,Shandong,6,0,0
2020-01-23,Mainland China,Shanghai,16,0,0
2020-01-23,Mainland China,Shanxi,1,0,0
2020-01-23,Mainland China,Sichuan,8,0,0
2020-01-23,Mainland China,Tianjin,4,0,0
